en,cn,audio_url,meta,id
The pandemic caused widespread economic hardships globally.,疫情在全球范围内造成了广泛的经济困难。,,,053fae05-2420-4e7a-9c44-9c719d29fdc4
We need to allow for extra time in case of traffic delays.,我们需要考虑到额外时间，以防交通延误。,,,66cbfe09-ea18-4545-a2fa-39b70c0e3a53
The budget should allow for unexpected expenses.,预算应该为意外开支留出余地。,,,cdbb74d6-f57c-4094-b64a-fee954534c41
Regular social interaction is important for mental health.,定期的社交互动对心理健康很重要。,,,2c33b5e3-9a3e-4705-9b0b-f8b38fe3cb68
Online platforms facilitate social interaction across distances.,在线平台促进了跨距离的社交互动。,,,c0f0ca59-4e2c-4cc9-8ba0-f38bb79c2fbc
He's angling for a promotion by taking on extra projects.,他通过承担额外项目来谋取晋升。,,,c549ccac-6299-4768-af13-88a9105bbded
She angled for compliments by showing off her new dress.,她通过炫耀新裙子来试图获取赞美。,,,4ff14f27-6a2d-40ee-9d47-bc877919ed30
Schools should teach life skills like budgeting and cooking.,学校应该教授预算和烹饪等生活技能。,,,88c92fee-dd30-4132-acdf-bc17b4fb42c7
Developing life skills helps individuals become more independent.,培养生活技能有助于个人变得更加独立。,,,a8c85ee4-0368-4374-9fcb-806f1996ca1a
The software saves files by default in the Documents folder.,软件默认将文件保存在文档文件夹中。,,,b51e3345-42f0-4bc4-a62f-9d7c0bc4010c
He became the team leader by default when no one else volunteered.,当没有其他人自愿时，他默认成为了团队领导。,,,9ef205e5-6512-4be4-a1f8-c7807f2833d8
The animals were locked in cages at the zoo for safety.,动物园里的动物被锁在笼子里以确保安全。,,,6ccc75d2-fb87-456d-900d-968234dcd3fd
She felt like she was locked in cages by societal expectations.,她感觉自己被社会期望禁锢住了。,,,38cfc20b-c55c-4e98-a6fb-ab8bd92dfa46
I messed up the presentation by forgetting my notes.,我忘了带笔记，搞砸了演示。,,,40c13d24-7114-4192-a3e2-55a844c3983f
Don't mess up the room; we just cleaned it.,别把房间弄乱；我们刚打扫过。,,,6e5204da-1c86-4b42-bd9e-0bc2e19159c6
"I have an acquaintance with him from work, but we're not close friends.",我通过工作认识他，但我们不是亲密朋友。,,,e98db677-3bc4-4c24-bad1-8117f02c4f68
She has an acquaintance with the author through a mutual friend.,她通过共同的朋友认识了这位作者。,,,0c248594-6a80-401f-ae55-6435682ff974
She got credit for organizing the successful event.,她因组织这次成功的活动而获得赞扬。,,,09771825-c74e-404b-b960-323148377816
He got credit for his innovative solution to the problem.,他因创新解决问题而获得认可。,,,7c470181-afdd-4c91-9048-eed9f03fe702
"In ancient times, people used barter systems for trade.",在古代，人们使用物物交换系统进行贸易。,,,82e3469e-3377-49f3-b86c-ee7d73d12c45
Many myths originated in ancient times.,许多神话起源于古代。,,,ed70cb73-491c-4dfb-8135-5427d4f9997a
I am satisfied with the quality of the product.,我对产品的质量感到满意。,,,7427f338-6c92-4d82-84d2-412068122a30
She was satisfied with her performance in the exam.,她对自己在考试中的表现感到满意。,,,323cdcb9-1c28-45c9-a0b8-c0b0bee204ae
We need to fix a date for the meeting next week.,我们需要为下周的会议确定一个日期。,,,9891d47b-15a6-4af4-bc9f-c6b9dbbadb8f
They fixed a date for their wedding in June.,他们为婚礼确定了六月的日期。,,,5c4322b0-2bfa-4670-8b30-8f24dab90958
He worked up the courage to ask for a promotion.,他鼓起勇气要求升职。,,,575aa861-0e2e-4744-9efc-52006f10a7b8
She worked up a sweat during her workout.,她在锻炼中出了一身汗。,,,f858dbc9-275e-4486-a87f-e10ff5937b7d
She has the wherewithal to start her own business.,她拥有创办自己企业的必要资源。,,,f17dba54-c88d-45a8-b2d0-e83dbcc141bd
Do you have the wherewithal to complete this project on time?,你有按时完成这个项目的能力吗？,,,2c6aa694-560a-43d0-93d4-9ae1b89d43fc
We are running short of time to finish the report.,我们完成报告的时间不多了。,,,0562b323-6753-4707-8e58-8dec8f2c3b33
The store ran short of supplies during the sale.,商店在促销期间供应短缺。,,,0a5fd3d0-b68e-4826-beb3-26133edc26db
This model differs from the old one in its design.,这个型号在设计上与旧型号不同。,,,3d6c83da-b3d2-4a84-9f9b-582b9f55cd3e
She differs from her sister in personality.,她在个性上与她的姐姐不同。,,,f636b00f-c523-4507-a9aa-0b020978bf76
We saw herds of elephants on the safari.,我们在野生动物园看到了成群的象。,,,9a9d4190-96cc-4bbf-bbc0-8f417eb29b04
Herds of cattle grazed in the field.,成群的牛在田野里吃草。,,,b29711d2-0918-4efe-9da8-1a8b02401daf
Let's get straight down to business without any delays.,让我们立即开始谈正事，不要拖延。,,,1550a569-e69f-488b-b6d7-8eac585112b6
She got straight down to studying after dinner.,她晚饭后立即开始学习。,,,43592818-9e03-47cf-8cb7-2d218d309643
Don't throw away that old book; it might be valuable.,不要扔掉那本旧书；它可能很有价值。,,,7a1a98c2-ee63-4d12-8e72-85ecde2bf5cd
He threw away the broken toy.,他扔掉了那个坏掉的玩具。,,,f2900c0f-641c-4c42-b415-5102b6fb6ec3
"Their cabin is in the middle of nowhere, far from any town.",他们的小屋在偏僻的地方，远离任何城镇。,,,0f512b7a-5649-43fa-8118-222ac3c5a59d
We got lost and ended up in the middle of nowhere.,我们迷路了，最终到了一个荒无人烟的地方。,,,afd4aa0d-3491-4da9-8b7d-1e1423d56281
We must protect the environment at all costs.,我们必须不惜一切代价保护环境。,,,9ec95750-bdd6-471f-946c-06ebf61a5d6b
He was determined to win the competition at all costs.,他决心不惜一切代价赢得比赛。,,,a2cf3b85-9e62-40f5-b954-ee5748f079dd
She decided to take a gap year to travel around Asia.,她决定休学一年去亚洲旅行。,,,cc4a4098-5f03-48a0-89f2-11cb21292741
Many students take a gap year before starting university.,许多学生在开始大学前休学一年。,,,e53d567d-3290-4137-a970-a7f5722d9f24
We are all in the same boat when it comes to dealing with this crisis.,在处理这场危机时，我们都处境相同。,,,d275dccd-7ed7-41bf-8111-f18e4a65bacc
"Since we're in the same boat, let's work together to find a solution.",既然我们同舟共济，就一起努力找到解决方案吧。,,,66798986-d385-4cd3-b13a-2999b2c923e4
She drew out a long thread from the spool.,她从线轴上抽出一根长线。,,,56b6199d-e31a-4bd6-bafb-5cbe359eeaa1
The dentist drew out the infected tooth carefully.,牙医小心地拔出了那颗感染的牙齿。,,,29f902ac-70f9-4c8c-807a-438587a6f616
He had to hold his tongue during the argument to avoid making it worse.,在争论中，他不得不保持沉默以避免情况恶化。,,,a4cdc450-25ec-4355-9052-b33f2555d7fb
She held her tongue even though she disagreed with the decision.,尽管她不同意这个决定，但她忍住了没说。,,,a343aa77-5fe0-42db-b6a2-ef22b118ad76
The government recognized the new state as an independent nation.,政府承认这个新国家为独立国家。,,,ba37a662-dcbb-4609-8ba8-1ac67bd15b62
She was recognized as the leading expert in her field.,她被公认为该领域的顶尖专家。,,,64875412-81e4-4e70-b7ac-f1053b61a41c
He gets a charge out of watching comedy shows.,他从观看喜剧节目中获得乐趣。,,,7a683a69-ea81-4eab-95e7-2aee5381955a
She gets a charge out of solving difficult puzzles.,她从解决难题中获得兴奋感。,,,dc263d10-8207-460b-ae92-7efbd33033a1
Many people die from heart disease each year.,每年许多人死于心脏病。,,,c5ce7eae-8e10-4a5b-99ce-8a5a334e7bdb
He died from injuries sustained in the car crash.,他死于车祸中受的伤。,,,d71bed99-49e7-4107-81a3-31cfc2c737bb
The new technology opens up prospects for renewable energy.,这项新技术为可再生能源开辟了前景。,,,8f965848-f51b-4730-a2d5-d71dcd9859c6
Studying abroad can open up prospects for international careers.,出国留学能为国际职业开辟前景。,,,f11d892a-38c4-4b53-8a86-b90c0236be96
The training put the recruits through rigorous exercises.,训练让新兵经历了严格的练习。,,,226fb86c-9e0b-4764-92bb-d88fe3bfd133
She put her car through a thorough inspection.,她让她的车经历了一次彻底检查。,,,bc5c5564-ead7-4dd5-bbbc-5f64d1411f68
He ground out a report late into the night.,他熬夜费力地完成了一份报告。,,,0bdc2675-b326-45df-8790-7cdd175c022a
The factory grinds out thousands of units daily.,工厂每天费力生产数千个单位。,,,b3d47a39-a993-4831-91ab-c71bb9be7fdb
You can substitute honey for sugar in this recipe.,在这个食谱中，你可以用蜂蜜代替糖。,,,3a628db6-bd42-44c3-b6af-443d022a5b21
She substituted for the absent teacher yesterday.,她昨天替代了缺席的老师。,,,2c7754dc-b042-45c2-ad5a-7928310a4340
It took me a while to take in all the details of the plan.,我花了一段时间才理解计划的所有细节。,,,43cecf1c-0f19-4f83-b5e5-26b3283b2a4c
She quickly took in the instructions and started working.,她快速吸收了指示并开始工作。,,,76c289ea-fbde-40fb-96d1-96030477ba1e
Be cautious of strangers offering deals that seem too good to be true.,对提供好得不像真的交易的陌生人要谨慎。,,,857f27bd-4c85-489f-be5f-d7aa109f0aa0
Investors should be cautious of volatile markets.,投资者应对波动市场保持谨慎。,,,81823cff-5950-40d3-bf4e-69a2b6a80677
Poverty drove him to work multiple jobs.,贫困驱使他做多份工作。,,,5c7b7a35-ff1c-4572-8503-4d11f441c372
Her passion for art drove her to study abroad.,她对艺术的热爱驱使她出国留学。,,,00caad63-83e5-4f2b-9817-7a9d7e101422
Success often goes hand in hand with hard work.,成功通常与努力工作密切相关。,,,090f2851-0d98-4e6d-90d3-801715124027
Economic growth goes hand in hand with increased employment.,经济增长与就业增加密切相关。,,,a66c768a-403b-4f27-b000-4058c617ba05
Beware of pickpockets in crowded areas.,在拥挤区域要当心扒手。,,,af7e0f46-81d4-4a46-a889-26b8ce038236
You should beware of scams when shopping online.,网上购物时，你应该警惕诈骗。,,,ed2d1b6a-8384-4280-8c76-6968baa3ad5a
The company fell into disrepute after the scandal.,公司在丑闻后声名狼藉。,,,0fd20814-de8d-4bbb-8202-9f39f0b56fd9
The practice has fallen into disrepute among professionals.,这种做法在专业人士中已声名狼藉。,,,17a0de6d-621f-4445-b9a9-172c192bcacf
"To stay healthy, avoid excessive sugar in your diet.",为了保持健康，避免饮食中过多的糖。,,,c39c1662-bec2-482f-97ed-9e2adfda2a10
He avoided the topic to prevent an argument.,他避开这个话题以防止争论。,,,7087ae58-f897-4d78-a961-aab182351e7e
"For the gala, they really put on the dog with fancy decorations.",为了晚会，他们真的摆阔气，用了华丽的装饰。,,,7d1fa8f3-bf38-462c-9fdc-a13e4687023d
He put on the dog to impress his new colleagues.,他摆阔气以给新同事留下印象。,,,c96e452b-a335-4216-aba0-7dee8e8984d9
"Suffice it to say, the project was a huge success.",只需说，这个项目是一个巨大的成功。,,,4daae023-fb16-417b-aa28-9d9f7d5d28c7
Suffice it to say that we learned a lot from the experience.,只需说我们从这次经历中学到了很多。,,,166a1e9e-d760-44ef-9a3a-a7e54f7d02ad
Can you speak up? I can't hear you in the back.,你能大声点说吗？我在后面听不见。,,,43740c59-402f-450f-85b7-34af458e7b52
He spoke up to ensure everyone heard the announcement.,他大声说以确保每个人都听到通知。,,,ada50e0c-25bd-46c7-bc6b-40c706b3873c
The team pushed ahead with the project despite setbacks.,尽管有挫折，团队积极推进项目。,,,fd6fbcf6-3f28-4072-978f-d646518920c3
She pushed ahead with her plans to start a business.,她积极推进她创业的计划。,,,27be47b0-0ab5-4b10-9977-0d89ea838f4d
"In my opinion, this is the best solution to the problem.",依我之见，这是解决问题的最佳方案。,,,b6291754-ea87-42c8-aa1e-98e184773030
"In her opinion, the movie was not worth watching.",依她之见，这部电影不值得看。,,,5cbd79b2-2f77-4c7d-8c14-36591620c73d
The 2008 financial crisis affected economies worldwide.,2008年的金融危机影响了全球经济。,,,0159b214-a2cf-4ba8-9f1a-8e7b1e671d10
Governments often intervene during a financial crisis to stabilize markets.,政府常在金融危机期间干预以稳定市场。,,,b52b490f-d353-4004-aba4-37d35754e5e5
She had to work overtime to meet the project deadline.,她不得不加班以赶上项目截止日期。,,,9c0dce8a-c96b-4254-89b5-ccf4dda49ffd
Employees are compensated for working overtime on weekends.,员工在周末加班会得到补偿。,,,6ad39090-43e4-48cc-aa5d-cf6af313ba44
I'm on the way to the airport to pick up my friend.,我正在去机场接朋友的路上。,,,7ba40538-caa4-49da-b324-667bb87ced4c
She stopped for coffee on the way to work.,她在上班的路上停下来喝了杯咖啡。,,,0aa5483e-db99-4fb9-95f2-54e9a663b91d
Drivers must give way to pedestrians at crosswalks.,司机必须在人行横道处给行人让路。,,,4952d0ca-8b57-4f2c-83f2-51cc5634612f
He refused to give way in the negotiation.,他在谈判中拒绝让步。,,,619bc324-92a6-475d-a870-267978de327b
She took pity on the stray cat and brought it home.,她同情那只流浪猫，把它带回了家。,,,976b68d0-4719-42b0-abd7-98214d637d5e
The judge took pity on the defendant due to his difficult circumstances.,法官因被告的困境而怜悯他。,,,586deaeb-3b3c-4f64-9ec0-fd0b5f6b5c1f
"The sudden fame went to his head, and he became arrogant.",突然的名声冲昏了他的头脑，他变得傲慢起来。,,,89ff3e85-8d18-4825-9baf-efaf68173fd6
Don't let success go to your head; stay humble.,不要让成功冲昏了头脑，保持谦逊。,,,8c31e737-d145-4844-974c-58e6418386b6
She works full time as a software engineer.,她是一名全职软件工程师。,,,67970db9-83f0-47c6-a397-bff7a91d257d
The position requires a full-time commitment.,这个职位需要全职投入。,,,fb8f7f92-6274-466a-8925-812f12605c41
He is an expert on ancient Roman history.,他是古罗马历史方面的专家。,,,3c859296-fb5a-4972-9902-a0ee8868801b
She consulted an expert on climate change for her research.,她为研究咨询了一位气候变化专家。,,,4f7fb055-5405-4a12-8629-fbe4006c2ff1
"The project is more or less complete, with just a few details left.",这个项目或多或少完成了，只剩下一些细节。,,,1792a96a-1d8e-45e4-813c-86ed60d1835d
It will take more or less an hour to get there by car.,开车到那里大约需要一小时。,,,c47096c1-e56a-4774-9d18-0a07e7b859be
Please take off your shoes before entering the house.,请进屋前脱掉鞋子。,,,941c4c31-55db-4ebd-8c28-9f9ad84d627e
He took off his jacket because it was too warm.,因为太热，他脱下了夹克。,,,536f01cf-10ba-4ee2-80ad-df51fe1e9131
Hold fast to the railing to avoid slipping on the stairs.,紧紧抓住栏杆，以免在楼梯上滑倒。,,,94dd675d-dbaf-43ba-afc1-83900f25c400
She holds fast to her beliefs despite criticism.,尽管受到批评，她仍坚持自己的信念。,,,df84aab0-cff3-4027-ae18-cf0ba81a4995
The accountant was fired for having his hand in the till.,那名会计师因监守自盗被解雇了。,,,8025816b-3a2f-4710-ba33-407f93d96807
She suspected her partner of having his hand in the till when funds went missing.,当资金失踪时，她怀疑她的合伙人挪用了公款。,,,c07b86f7-a730-48d2-bdef-13491ccdebcf
Please remove the old files from the computer to free up space.,请从电脑中移除旧文件以释放空间。,,,3cafa764-3b32-4daa-a79c-e01eadd743fc
The doctor removed the splinter from her finger.,医生从她的手指中取出了碎片。,,,e78c416c-bbc3-45ea-a1c0-a20d9281963c
The diet restricts sugar intake to 20 grams per day.,这种饮食将糖的摄入量限制在每天20克。,,,ac4858a4-5093-478d-a1dd-ea9521f4edde
Access to the building is restricted to authorized personnel only.,进入这栋大楼仅限于授权人员。,,,71ec9497-bfcf-4c31-9cbf-a5959b20440d
"As a librarian, she keeps all the reference books at her fingertips.",作为图书管理员，她将所有参考书都放在手边。,,,6f7e2baa-358d-480a-91c0-a336d346666d
He keeps the latest data at his fingertips for quick decisions.,他将最新数据放在手边以便快速决策。,,,75e0e968-c47c-429a-9742-6cda1db7db43
Make sure all the tools are in place before starting the repair.,在开始修理前，确保所有工具都已就位。,,,8a624903-1f7b-428d-a553-cb4a13aa4d57
The new policy is now in place to improve safety.,新政策现已就位以改善安全。,,,6d2e7817-6ed7-4e95-8417-720b4c6b3ebf
Please hand on this message to the manager when you see him.,当你见到经理时，请把这个消息转交给他。,,,c22102b6-b274-4a3c-9b8a-d054d5843612
The tradition is handed on from generation to generation.,这个传统代代相传。,,,604b59a6-61ab-40b9-abb9-bbd83feacfdf
We should give credit where credit is due and acknowledge her hard work.,我们应该给予应有的认可，承认她的辛勤工作。,,,9d5b5421-b651-4c97-84f1-bbb68bef3bdc
The manager always gives credit where credit is due to motivate the team.,经理总是将功劳归于应得之人以激励团队。,,,44647129-e3b7-496b-860b-1d9c52cf6267
The team went all out to win the championship.,团队全力以赴以赢得冠军。,,,65992ae8-0335-4f8c-b570-97ea5e102bde
"She went all out in preparing for the exam, studying day and night.",她为准备考试竭尽全力，日夜学习。,,,4d13e702-1864-4216-91f3-7485cfa996d4
I'll put you down as a guest for the event.,我会把你登记为活动的客人。,,,a752332e-8a57-48a2-9dc5-e09b630706de
She put him down as a reliable friend after he helped her in need.,在他需要时帮助她后，她认为他是一个可靠的朋友。,,,0fb107ea-cbb1-49a2-aae2-91b416d9a3d0
"The manager got a free hand with the project, allowing her to implement her own strategies.",经理获得了对该项目的完全控制权，使她能够实施自己的策略。,,,6fecc0c9-fe8c-4903-9465-b4c943c60728
"After the promotion, he got a free hand with the budget, making decisions without needing approval.",晋升后，他获得了对预算的自由处理权，无需批准即可做出决定。,,,ad521dd7-d71c-4fb0-a96e-fc13e555f128
She offered her help in return for his promise to keep it confidential.,她提供帮助，作为他承诺保密的回报。,,,98925be2-d5b4-40d0-82d3-28c6760ec67c
He gave her a gift in return for her hospitality during his visit.,他送她一份礼物，以回报她在他访问期间的款待。,,,e648bcc3-bccd-4c5c-9f03-64f45489014d
"During the crisis, it's important not to lose your head and stay focused on the solution.",在危机期间，重要的是不要失去冷静，保持专注于解决方案。,,,a52bdc92-e7ff-4677-aa3f-89cfe6ad4aee
She lost her head when she saw the accident and started screaming uncontrollably.,她看到事故时失去了理智，开始无法控制地尖叫。,,,10c6d7dd-abc5-4b2a-881f-448f21f442c6
The horizontal movement of the pendulum was measured to analyze its oscillation patterns.,测量了摆锤的水平移动，以分析其振荡模式。,,,53b22042-9d36-48c7-b655-db61e0bdd6e3
"In dance, horizontal movement across the stage requires precise coordination and balance.",在舞蹈中，舞台上的水平移动需要精确的协调和平衡。,,,da402de8-8a48-4621-92f0-391947602fe8
"After working 80 hours a week, he started to go round the bend and needed a break.",每周工作80小时后，他开始变得疯狂，需要休息一下。,,,e3d3a49a-1d90-44bf-ab09-885d0080ecf6
The constant noise from the construction made her go round the bend with frustration.,建筑工地的持续噪音让她沮丧得快要发疯。,,,3a824634-d71f-46a6-a084-7fd87877af8b
"When planning the trip, make allowance for possible delays due to traffic.",计划旅行时，要考虑到交通可能造成的延误。,,,d272f57e-5663-41b4-9e3b-894d6c2cfb6c
The teacher made allowance for the student's illness by extending the deadline for the assignment.,老师考虑到学生生病，延长了作业的截止日期。,,,e1d18871-d8d7-404f-ab32-ecfe6e80a080
